Item,Serving,Calories,Carbs,Protein,Fat,Fiber,Diet,Food cause
Tofu,1 serving,144,2.8,17.3,8.7,2.3,Veg,sub meal
Rajma chhole moong sprout salad,1.5 katori,88.5,17.1,4.2,1.05,4.2,Veg,sub meal
Coconut rice,1 katori,207,25,3.7,10.2,2.4,Veg,main meal
Dal palak,1 katori,118,15,6,3.8,2.8,Non Veg,sub meal
Lobia salad,1 katori,63,9.2,3.2,1.7,1.4,Veg,main meal
Aloo methi sabzi,1 katori,113,16.3,2.4,4.3,2.7,Veg,sub meal
Kakadichi Koshimbir,1 Katori,52,4.4,2.4,2.9,0.5,Veg,sub meal
Jowar Bhakri,3 Piece,249,53.4,5.4,2.4,4.5,Veg,main meal
Veg Clear Soup,1 Bowl,44,4.9,2.1,0.4,1.5,Veg,other meal
Bhopla bhaji,1 katori,62,6.7,1.4,3.5,1.2,Veg,sub meal
Buttermilk with flaxseed powder,1 glass,55,2.2,2.6,4.2,0.9,Veg,other meal
Egg biryani,1.5 katori,210,31.8,6.3,6,1.35,Non Veg,main meal
Beetroot Koshimbir,1 Katori,48,3.9,1.1,3.1,1.9,Veg,sub meal
Peas Bhaji,1 Katori,88,8,2.7,5.1,4.3,Veg,sub meal
Bean salad,1 katori,55,7.4,1.9,2,2.1,Veg,sub meal
Nachni roti,2 pieces,174,38.4,4,0.8,6.2,Veg,main meal
Stuffed/bharwan karela,2 pieces,130,6.6,2.2,10.8,5,Veg,main meal
Matki Bhaji,1 Katori,85,13.8,3.7,2.6,1.1,Non Veg,main meal
Curd,4 tbsp,36,2,2,2.4,0,Veg,other meal
Nachni Bhakri,2 Piece,250,28.8,3,13.8,4.8,Veg,main meal
Besan roti,2 pieces,266,30.6,7.2,12.8,5.2,Veg,main meal
Chhole,1 katori,154,21,6.4,5.4,5.8,Veg,sub meal
Palak paneer,1.5 Small,265.5,9.15,9,21.45,3.15,Veg,sub meal
Chavli Bhaji,1 Katori,88,8.4,2.3,5.1,3.2,Veg,sub meal
Mix Veg Bhaji,1 Small,94,14.2,2.3,3.3,4,Veg,sub meal
Matar Paneer,1.5 Small,205.5,16.5,9.3,11.7,6.9,Veg,sub meal
Clear Vegetable Soup,1 Bowl,44,4.9,2.1,0.4,1.5,Veg,sub meal
Dudhi bhopla bhaji,1 katori,50,3.7,0.7,3.7,2.5,Veg,sub meal
Kadhi,1.5 Katori,184.5,11.85,5.4,12.9,1.2,Veg,sub meal
Shepu Bhaji,1 Katori,83,8.8,1.5,4.9,1.6,Veg,main meal
Harbhara Bhaji,1 Katori,92,11.6,3,4,4.3,Veg,sub meal
Padwal Sabzi / Bhaji,1 Katori,45,3.3,0.9,3.2,1.6,Veg,sub meal
Dudhi Bhaji,1 Katori,42,4.2,0.6,2.6,3.1,Veg,sub meal
Sprouts Salad,1 Katori,24,5,1.7,0.2,1.4,Veg,sub meal
Chana lobia curry,1 katori,171,24.3,9,4.3,4.3,Veg,sub meal
Tinda sabzi,1 katori,55,3.5,1.2,4,0.9,Veg,sub meal
Millet and spinach khichdi,1.5 katori,105,16.05,4.35,2.55,2.7,Veg,sub meal
Stir fried mix vegetables,1 katori,82,5.6,3.4,5.2,1.5,Veg,main meal
Cauliflower palya,1 katori,81,6.6,2.1,5.7,2.3,Veg,sub meal
Millet khichdi,1 katori,89,16.7,2.2,1.6,0.7,Veg,sub meal
Chicken drumstick gravy,1 katori,140,5.2,13.7,7.1,1.9,Non Veg,sub meal
Paneer masala,1 Small,181,7,7.9,13.8,2.1,Veg,sub meal
Chicken tikka sandwich,1 pc,276,26.4,11.2,12.7,5.1,Non Veg,main meal
Paneer vegetable wrap,1 roll/,321,22.7,14.2,20.1,0.8,Veg,main meal
Veg Tofu Fried Rice,1.5 Bowl,457.5,65.7,13.2,16.2,1.95,Veg,main meal
Coconut Rice,1 Small,153,21.4,3.1,6.1,1.8,Veg,main meal
Paneer Fried Rice,2 Katori,248,35.4,13.6,14.6,1.8,Non Veg,main meal
Beetroot roti,1 pieces,87,16.2,2.9,1.2,2.9,Veg,main meal
Ragi balls,2 ball,194,42.8,4.4,0.8,6.8,Veg,sub meal
Banana stem salad,1 katori,62,9.3,0.5,2.5,2.1,Non Veg,sub meal
Methi roti,2 pieces,178,36,6.4,1,5.8,Veg,main meal
Roasted Papad,1 Piece,30,3.6,1.5,1.1,0.7,Veg,sub meal
Aaloo beans sabzi,1 katori,93,12,1.8,4.3,2.6,Veg,sub meal
Palak Khichdi,1 Katori,131,20.1,5.9,3.3,2.4,Veg,sub meal
Tomato Koshimbir,1 Katori,34,6.7,1.2,0.2,1.6,Veg,sub meal
Kobi Bhaji,1 Katori,65,4.7,1.9,4.2,2.8,Non Veg,sub meal
Chickpea vegetable salad,1 katori,82,12.5,3,2.5,4.6,Veg,main meal
Laal Math Bhaji,1 Katori,79,9.1,4.5,3,5.3,Veg,sub meal
Moong Bhaji,1 Katori,150,21.8,8.5,3.3,7.1,Veg,main meal
Matar paratha,1 piece,163,21.7,5,6.4,3,Non Veg,main meal
Usal,1 katori,117,15.3,4.4,5.2,2.1,Veg,main meal
Tondli Bhaji,1 Katori,49,4.6,1.3,2.7,2.8,Veg,sub meal
Karela Bhaji,1.5 Katori,123,11.85,3.45,7.2,8.4,Veg,sub meal
Bhoplyachi Bhaji,1 Katori,100,10.1,2.7,6.1,2.5,Veg,sub meal
Ambadi Bhaji,1 Katori,108,10,4,6.2,1.7,Veg,sub meal
Kobichi Bhaji,1.5 Katori,97.5,7.05,2.85,6.3,4.2,Veg,sub meal
Bell pepper sabzi,1 katori,71,7.2,1.2,4.6,1.9,Veg,sub meal
Papaya,1 cup,47,46,10.4,0.9,0.2,Veg,other meal
Mosambi,1 piece,29,6.2,0.5,0.2,1.8,Veg,other meal
Pear,1 piece,,77,17.6,0.9,0.3,Veg,other meal
Granola bar,1 bar,119,16.9,1.9,4.9,2.2,Veg,other meal
Peanut butter with whole wheat bread,1 slice,117,13,5.4,5.2,2.5,Veg,main meal
Muskmelon,1 cup,84,27,5.6,0.5,0.3,Veg,other meal
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3,Veg,other meal
Cashew Nuts,4 Piece,32,1.2,1.2,2.8,0,Veg,other meal
Apple smoothie,1 glass,145,22,3.6,4.9,1.6,Veg,other meal
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2,Veg,main meal
walnuts,4 piece,56,0.8,1.2,5.6,0.8,Veg,other meal
Fresh fruit salad,1 katori,60,14,0.9,0.5,3.6,Veg,other meal
Pineapple,2 thin,52,12.2,0.4,0.2,3.2,Veg,other meal
Masala oats,1 katori,80,12.8,2.3,2.2,2.4,Veg,main meal
Orange,1 piece,32,46,10.5,0.7,0.2,Veg,other meal
Pomegranate,0.5 cup,72,16.25,1.45,1,3.5,Veg,other meal
Khakra,1 Piece,89,1.8,2.5,3,2,Veg,main meal
Pumpkin seeds,1 tbsp,52,1.3,2.7,4.4,0.6,Veg,sub meal
Chiku,1 piece,59,12.8,0.4,0.7,6.5,Veg,other meal
Figs,dried,2 piece,42,10.8,0.6,0.2,Veg,other meal
Yoghurt,1 katori,90,4.5,4.7,6,0,Veg,other meal
Banana oatmeal smoothie,1 glass,228,36.3,7.7,6,2.4,Veg,other meal
Dates,1 piece,25,6.1,0.2,0,0.7,Veg,other meal
Apricot dried,1 piece,20,4.9,0.1,0.1,0.5,Veg,other meal
Dates jaggery laddu,1 pieces,103,10.9,1.7,5.9,1.5,Veg,other meal
Chikoo Milkshake,0.5 Glass,103,15.6,2.6,3.4,6.1,Non Veg,other meal
Banana peanut butter smoothie,0.5 glass,119.5,16.75,4.85,4.05,1.3,Veg,other meal
Protein bar,1 bar,182,16.1,4.8,11.2,3.8,Non Veg,other meal
Dry dates,2 piece,84,50,12.2,0.4,0,Veg,other meal
Flax seeds,1 tbsp,55,3,1.9,4.4,2.8,Veg,other meal
Raisins,1 tbsp,28,6.8,0.2,0,0.6,Veg,other meal
Blueberries,1 In,17,3.5,0.2,0,0,Veg,other meal
Khajur,3 Piece,120,23.7,2.4,1.8,2.1,Veg,other meal
Sunflower seeds,1 tbsp,54,1.6,1.7,4.6,0.8,Veg,other meal
Boiled moong and chana,1 katori,132,22.4,7.6,1.4,9,Veg,main meal
Boiled sprouted chana,1 katori,161,27,8.7,2.6,7.5,Veg,main meal
Sprouts,2 Katori,48,9.6,4.8,0.4,2.8,Veg,main meal
Boiled kala chana,1 katori,161,27.2,7.6,2.4,12.6,Veg,main meal
Boiled soyabean,0.5 cup,148,7.2,15.65,7.7,5.15,Veg,main meal
Banana yoghurtoatmeal smoothie,1 glass,228,36.3,7.7,6,2.4,Veg,main meal
Chicken breast salad,1 katori,168,15.5,9.5,7.9,2.4,Non Veg,sub meal
Apple pear oatmeal smoothie,1 glass,235,27.6,6.4,6.7,5.7,Veg,sub meal
Boiled chicken,0.5 katori,78,0.1,18.4,0.45,0.05,Non Veg,main meal
Grilled chicken drumstick,1 drumstick,172,0.8,27.7,5.6,0.1,Non Veg,sub meal
Garden Chicken Salad with Grilled Chicken - no dressing,0.5 gm,175,8,21.5,7,1,Non Veg,main meal
Chicken lettuce salad,1 katori,128,1.7,13.2,7.3,0.6,Non Veg,main meal
Strawberry,4 medium,20,4.8,0.4,0,1.2,Veg,other meal
Banana Milkshake,1 Glass,197,29.3,6.5,5.5,1.3,Veg,other meal
Banana,1 piece,,117,27.5,1.2,0.3,Veg,other meal
Coconut water,1 piece,49,9.1,2.9,0.2,2.3,Veg,other meal
Watermelon,1 cup,42,24,5,0.3,0.3,Veg,other meal
Carrot beetroot juice,1 glass,72,15.7,2.1,0,1,Veg,other meal
Sweet corn and moong dal chaat,1 katori,72,12.5,3.9,1.1,2,Veg,main meal
Roasted chana,1 katori,270,46,9.6,5.3,7.2,Veg,main meal
Vegetable juice,1 glass,55,11.5,1.5,0.3,2,Veg,other meal
Mosambi Juice,1 Glass,94,20.2,1.7,0.7,5.9,Veg,other meal
Cucumber tomato juice,1 glass,44,9.3,1.9,0.4,2.6,Veg,other meal
Sweet corn chaat,1 katori,83,10.2,1.5,4.7,1.7,Veg,other meal
Makhana,1 katori,111,24.6,3.1,0,4.6,Veg,other meal
Strawberries,4 piece,28,20,4.8,0.4,0,Veg,other meal
Soaked and peeled almonds,6 almond,48,0.6,1.8,4.2,1.2,Veg,other meal
Cucumber palak juice,1 glass,29,4.2,1.8,0.6,2.2,Veg,other meal
Cucumber dhaniya pudina juice,1 glass,30,5.2,1.7,0.4,2.1,Veg,other meal
Pista,1 tbsp,48,1.3,1.5,4.1,0.8,Veg,other meal
Plain Lemon Juice,1 Glass,5,1.6,0.1,0.1,0.1,Veg,other meal
Roasted peanuts,0.5 serving,85.5,4,3.95,6,1.65,Veg,other meal
Murmura chana peanuts bhel,1 katori,223,31,7.2,7.9,2.2,Veg,other meal
Puffed Rice Chivda,1 Katori,138,19.8,3.2,5.1,2.4,Veg,other meal
Cheese Toast Sandwich,1 Piece,205,23.6,6.9,9.4,4,Veg,main meal
Boiled peanuts,1 serving,96,2.7,4.4,8.3,1.4,Non Veg,other meal
Vegetable Sandwich,1 Sandwich,220,32.5,5,8,6.4,Veg,main meal
Chana tikki,2 piece,252,24.6,5.4,15,7.4,Veg,main meal
Egg white burji,1 egg,55,3.7,4.2,2.5,1.2,Non Veg,sub meal
Sweet potato,0.5 piece,,75.5,13.5,1.05,0.05,Veg,main meal
Grilled Vegetable Sandwich,1 Sandwich,220,32.5,5,8,6.4,Veg,main meal
Ragi kanji,1 glass,135,12.3,6.1,6.4,0.7,Veg,main meal
Masala Toast Sandwich,1 Piece,68,10.9,2.2,1.8,1.8,Veg,main meal
Masala Papad,2 Piece,50,1.8,2.4,6,1.6,Veg,other meal
Moong rava appe,4 pieces,144,20.4,5.6,4.8,3.6,Veg,main meal
Carrot Soup,1 Bowl,106,17.7,1.6,3.3,6.4,Non Veg,main meal
Oats idli,2 piece,154,21,6,5,3.6,Veg,main meal
Palak Soup,1 Bowl,33,10.8,1.8,1.4,2.4,Veg,main meal
Clear Chicken Soup,1 Katori,43,1.5,8.9,0.2,0.4,Non Veg,main meal
Vegetable stew,1 katori,121,8.2,1.6,9.8,2.3,Non Veg,main meal
Corn Cheese Sandwich,1 Sandwich,298,39.7,11.1,11.3,4,Non Veg,main meal
Multigrain Toasted Potato Chatni Sandwich,1 Piece,186,35,6.1,2.4,5.2,Non Veg,main meal
Popcorn plain,1 cup,31,6.2,1,0.4,1.2,Veg,other meal
Paneer Sandwich,1 Sandwich,245,28.7,9.9,10.4,4.6,Veg,main meal
Gur chana,0.5 katori,84,16.75,2.5,0.8,4.1,Veg,main meal
Moong bean sprouts,1 katori,24,4.8,2.4,0.2,1.5,Veg,main meal
Corn Cutlet,2 Piece,182,13.2,2.2,13.6,1.2,Veg,other meal
Green tea,1 teacup,0,0,0,0,0,Veg,other meal
